 # | obj tags |obj count|               raw id                |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     spec. type     |#bib |#not
190|x         |        1|GD 71                                |GD 71                              |WD*|05 52 27.6198591816 +15 53 13.228887444|DA1.5               | 370 |   0
191|d         |        1|table:Star= HD 39587                 |* chi01 Ori                        |RS*|05 54 22.9829893 +20 16 34.222038      |G0V                 | 828 |   0
192|d         |        1|table:Star= HD 39833                 |HD 39833                           |PM*|05 55 01.9581989592 -00 30 28.697562252|G3V                 |  91 |   0
193|d         |        1|table:Star= HD 39801                 |* alf Ori                          |s*r|05 55 10.30536 +07 24 25.4304          |M1-M2Ia-Iab         |1586 |   0
194|d         |        1|HD 39970                             |HD 39970                           |V* |05 56 56.1185421720 +24 14 58.879547772|A0Ib                |  89 |   0
195|d         |        1|table:Star= HD 39949                 |HD 39949                           |*  |05 57 05.5560823488 +27 18 59.966216244|G2Ib                |  57 |   0
196|d         |        1|table:Star= HD 250792                |HD 250792                          |** |06 03 14.8636143602 +19 21 38.696218609|G1                  | 155 |   0
197|d         |        1|table:Star= HD 41667                 |HD 41667                           |PM*|06 05 03.6441903504 -32 59 38.727053880|G8V                 |  42 |   0
198|d         |        1|table:Star= HD 41433                 |HD 41433                           |*  |06 05 08.5660066200 +00 51 59.385038580|G8/K0III            |  30 |   0
199|d         |        1|table:Star= SHV 0606101-724012       |SHV 0606101-724012                 |LP*|06 05 09.7738613568 -72 40 35.291267832|M7                  |   8 |   0
200|d         |        1|table:Star= HD 41661                 |HD 41661                           |** |06 06 24.4255012416 -00 57 48.122803800|F3V                 |  27 |   1
201|d         |        1|table:Star= HD 41770                 |HD 41770                           |*  |06 07 14.3771101080 +01 30 30.105457776|kF2hF5mF5(III)EuBa  |  21 |   0
202|d         |        2|table:Star= HD 42143                 |HD 42143                           |*  |06 09 23.3024671440 +06 16 31.796339376|A0                  |   7 |   0
203|d         |        1|table:Star= HD 42182                 |HD 42182                           |PM*|06 09 35.9118668568 +05 40 08.054105916|G0                  |  40 |   0
204|d         |        1|table:Star= HD 42256                 |HD 42256                           |PM*|06 09 49.1430800496 +02 52 10.085515140|G8III/IV            |  18 |   0
205|d         |        1|table:Star= HD 42597                 |HD 42597                           |** |06 11 58.7262502680 +07 23 28.761987696|B1V                 |  38 |   0
206|d         |        1|table:Star= HD 42983                 |HD 42983                           |PM*|06 13 52.7553556536 +02 48 31.881343500|K0IV                |  40 |   0
207|d         |        1|table:Star= HD 43021                 |HD 43021                           |*  |06 14 10.4187673464 +02 34 28.630075044|A2III               |  14 |   0
208|d         |        1|table:Star= HD 43286                 |HD 43286                           |*  |06 15 30.2432626920 +03 57 29.502818640|B2/3V               |  30 |   0
209|d         |        1|table:Star= HD 44007                 |HD 44007                           |Pe*|06 18 48.5269024752 -14 50 43.423248948|G5(IV)wF3/5         | 176 |   0
210|d         |        1|table:Star= HD 44285                 |HD 44285                           |*  |06 20 59.1767274816 +00 14 22.404386400|K3III               |  14 |   0
211|d         |        1|table:Star= HD 44515                 |HD 44515                           |*  |06 22 25.2615642288 +05 34 34.200859152|K0                  |   6 |   0
212|d         |        1|table:Star= LHS 1841                 |L 812-11                           |PM*|06 22 38.5657533184 -12 53 05.057239423|~                   |  27 |   0
213|d         |        1|table:Star= HD 44391                 |HD 44391                           |*  |06 22 47.8768782096 +27 59 12.034306176|K0Ib                |  48 |   0
214|d         |        1|table:Star= HD 44770                 |* eps Mon B                        |*  |06 23 46.4858893296 +04 35 45.135912588|F5V                 |  52 |   0
215|d         |        1|table:Star= HD 45196                 |HD 45196                           |*  |06 25 58.9668697512 -01 48 48.784186800|A9V                 |  20 |   0
216|d         |        1|table:Star= HD 45282                 |HD 45282                           |Pe*|06 26 40.7720940072 +03 25 29.792391024|Gwl                 | 147 |   0
217|d         |        1|table:Star= HD 45507                 |HD 45507                           |*  |06 28 02.8888116672 +05 55 21.167876856|G5                  |  18 |   0
218|d         |        1|table:Star= HD 46454                 |HD 46454                           |*  |06 33 46.4426881248 +07 14 24.044368308|K0                  |  14 |   0
219|d         |        2|table:Star= IRAS 06404+0311          |IRAS 06404+0311                    |*  |06 43 07.0207768872 +03 08 53.574497304|M4:                 |   4 |   0
220|d         |        1|table:Star= HD 48616                 |HD 48616                           |*  |06 44 25.4031883560 +03 08 29.672419704|F3/5Ib              |  49 |   0
221|d         |        1|table:Star= HD 49068                 |HD 49068                           |*  |06 45 43.0119485640 -20 51 09.600236172|K1.5III             |  80 |   0
222|d         |        1|table:Star= HD 49739                 |HD 49739                           |*  |06 50 12.3270532560 +05 40 24.595818960|A5                  |  18 |   0
223|d         |        1|table:Star= IRAS 06498-1102          |IRAS 06498-1102                    |*  |06 52 12.0501315096 -11 05 52.444551300|M2/3                |   3 |   0
224|d         |        1|table:Star= HD 50372                 |HD 50372                           |*  |06 52 59.3021745336 +02 44 36.557745144|K0III               |  27 |   0
225|d         |        1|table:Star= HD 50877                 |* omi01 CMa                        |s*r|06 54 07.9522701192 -24 11 03.159501504|K2Iab               | 170 |   0
226|d         |        1|table:Star= HD 50819                 |HD 50819                           |*  |06 54 57.9191955240 +02 02 34.242646056|G8IV                |  14 |   0
227|d         |        1|table:Star= HD 52298                 |HD 52298                           |PM*|06 57 45.4421855338 -52 38 54.476395399|F8VFe-1CH-0.5       |  57 |   0
228|d         |        1|table:Star= HD 52005                 |* 41 Gem                           |V* |07 00 15.8233724160 +16 04 44.385187008|K3-Ib               | 100 |   0
229|d         |        1|table:Star= HD 53003                 |HD 53003                           |*  |07 03 34.5716466744 +02 26 14.322836580|G3Ib                |  33 |   0
230|d         |        1|table:Star= HD 52973                 |* zet Gem                          |cC*|07 04 06.5312384690 +20 34 13.074474962|G1Ib                | 553 |   0
231|d         |        1|table:Star= CL* NGC 2324 BSV 10828   |NGC 2324 136                       |*  |07 04 16.1655848640 +01 01 13.459124928|~                   |  16 |   0
232|d         |        1|table:Star= HD 53927                 |HD 53927                           |PM*|07 08 04.2387975116 +29 50 04.185026529|K2.5V               |  78 |   0
233|d         |        1|table:Star= HD 54828                 |HD 54828                           |PM*|07 10 44.2208494968 +09 04 34.830609096|G5                  |   9 |   0
234|d         |        1|table:Star= AL Mon                   |V* AL Mon                          |Mi*|07 12 52.1703598944 -05 20 47.169225888|M7                  |  13 |   0
235|d         |        1|table:Star= HD 55693                 |HD 55693                           |PM*|07 13 02.6731051176 -24 13 32.068394832|G1.5V               |  83 |   0
236|d         |        1|table:Star= HD 55583                 |HD 55583                           |*  |07 13 51.5162547408 +09 28 06.250829952|K0                  |   7 |   0
237|d         |        1|table:Star= HD 56448                 |HD 56448                           |*  |07 17 01.5614464320 +00 32 30.383718468|K0III               |   8 |   0
238|d         |        2|table:Star= HD 57060                 |* 29 CMa                           |SB*|07 18 40.3789353696 -24 33 31.318248528|O7Iafpvar           | 409 |   0
239|d         |        1|table:Star= HD 57132                 |HD 57132                           |** |07 20 02.61811 +03 46 36.5510          |K2III               |  16 |   1
240|d         |        1|table:Star= HD 57707                 |HD 57707                           |PM*|07 22 28.3194886104 +00 42 02.994094332|K0/1III             |  21 |   0
241|d         |        2|table:Star= BD-16 1934               |BD-16 1934                         |*  |07 23 27.2814253104 -16 31 19.650978048|~                   |   3 |   0
242|d         |        1|table:Star= HD 58051                 |HD 58051                           |*  |07 24 18.3811458816 +07 54 53.746108740|K0                  |   6 |   0
243|d         |        1|table:Star= HD 58072                 |HD 58072                           |*  |07 24 24.5719862712 +10 14 44.406257028|G5                  |  14 |   0
244|d         |        1|table:Star= HD 58455                 |HD 58455                           |*  |07 25 55.6615452408 +05 14 00.464820612|K0                  |   7 |   0
245|d         |        1|table:Star= HD 58554                 |HD 58554                           |*  |07 26 25.4933464464 +08 20 07.157490612|K0                  |   6 |   0
246|d         |        1|table:Star= HD 58790                 |HD 58790                           |SB*|07 26 40.0560365160 -11 35 13.650884736|K0/1III             |  11 |   0
247|d         |        1|table:Star= HD 59295                 |HD 59295                           |*  |07 29 35.4367573032 +07 50 25.740991032|K0                  |  13 |   0
248|d         |        1|table:Star= BD+24 1676               |BD+24 1676                         |PM*|07 30 41.2662525096 +24 05 10.248524088|F                   | 118 |   0
249|d         |        1|table:Star= HD 59984                 |HD 59984                           |PM*|07 32 05.7629164512 -08 52 52.775251032|G0VFe-1.6CH-0.5     | 202 |   0
250|d         |        1|table:Star= HD 60319                 |HD 60319                           |PM*|07 34 35.1077496408 +16 54 04.028098500|F8                  |  92 |   0
251|d         |        2|table:Star= HD 61064                 |* 25 Mon                           |dS*|07 37 16.6910262168 -04 06 39.533872608|F6III               | 138 |   0
252|d         |        2|table:Star= BD-01 1792               |BD-01 1792                         |PM*|07 39 50.1120068643 -01 31 20.376529550|G6V                 | 100 |   0
253|d         |        1|table:Star= [W71b] 008-03            |[W71b] 008-03                      |C* |07 40 55.4556312528 -26 01 30.632548584|C                   |  10 |   0
254|d         |        1|table:Star= CD-31 4916               |V* V384 Pup                        |s*r|07 41 02.6293485216 -31 40 59.096449344|M3Iab-Ib            |  55 |   0
255|d         |        1|table:Star= HD 62968                 |HD 62968                           |** |07 46 35.3518877832 +04 07 50.153121228|A/F                 |  26 |   1
256|d         |        1|table:Star= HD 63302                 |V* QY Pup                          |s*r|07 47 38.5262364936 -15 59 26.481207696|K1Ia-Iab            |  89 |   0
257|d         |        1|table:Star= [ABC89] Pup17            |DJM 222                            |C* |07 49 32.4875857080 -27 23 36.415820688|C                   |   8 |   0
258|d         |        1|table:Star= HD 64332                 |V* NQ Pup                          |S* |07 53 05.2704648648 -11 37 29.352872136|S4.5/2              |  88 |   0
259|d         |        1|table:Star= HD 64630                 |HD 64630                           |Pu*|07 55 07.9201168056 +06 59 45.512318616|F0                  |  17 |   0
260|d         |        1|table:Star= HD 65354                 |HD 65354                           |*  |07 57 03.0244580448 -34 22 42.353381640|K3III               |  24 |   0
261|d         |        1|table:Star= HD 65372                 |HD 65372                           |*  |07 58 30.3329505624 +02 56 09.081871548|A3III               |  17 |   0
262|d         |        1|table:Star= HD 65583                 |HD 65583                           |PM*|08 00 32.1297283166 +29 12 44.475101673|K0V_Fe-1.3          | 303 |   0
263|d         |        2|table:Star= [ABC89] Pup42            |V* V685 Pup                        |C* |08 04 57.5502333792 -29 51 25.612158636|C                   |  15 |   0
264|d         |        1|table:Star= HD 66776                 |HD 66776A                          |*  |08 05 24.5637279516 +08 11 58.650456771|G5                  |  17 |   0
265|d         |        1|table:Star= RU Pup                   |V* RU Pup                          |C* |08 07 29.8292965296 -22 54 45.272487204|C-N5III:            |  63 |   0
266|d         |        2|table:Star= HD 69701                 |V* MQ Hya                          |LP*|08 18 22.9549522176 +05 58 18.182735076|K5                  |  13 |   0
267|d         |        1|table:Star= HD 70138                 |HD 70138                           |C* |08 19 43.0931043576 -18 15 52.857851148|C-R:4IIIb:          |  40 |   0
268|d         |        2|table:Star= R Cha                    |V* R Cha                           |Mi*|08 21 46.4588734296 -76 21 18.302197932|M4.5e               |  59 |   0
269|d         |        1|table:Star= HD 71160                 |HD 71160                           |SB*|08 24 39.8543446248 -32 55 26.544582156|K3/4III             |  17 |   0
270|d         |        2|table:Star= HD 71310                 |HD 71310                           |*  |08 27 00.0289662096 +07 13 16.076066232|A2                  |  13 |   0
271|d         |        1|table:Star= HD 71497                 |HD 71497                           |*  |08 27 56.1585474312 +04 49 17.161967640|G5                  |  20 |   0
272|d         |        1|table:Star= HD 72968                 |* 3 Hya                            |a2*|08 35 28.1987898408 -07 58 56.257821768|A1VpSrCr            | 162 |   0
273|d         |        1|table:Star= HD 74088                 |HD 74088                           |*  |08 38 27.8603163504 -62 50 35.661016284|K4III               |  24 |   0
274|d         |        1|table:Star= HD 73665                 |* 39 Cnc                           |*  |08 40 06.4182853944 +20 00 28.034963316|G8+III-IIIb         | 183 |   0
275|d         |        1|table:Star= HD 74166                 |HD 74166                           |*  |08 40 42.6513848616 -42 20 26.592376812|K2III               |  10 |   0
276|d         |        1|table:Star= HD 74000                 |HD 74000                           |PM*|08 40 50.8036114756 -16 20 42.516208237|F2                  | 257 |   0
277|x*        |        1|LTT 3218                             |CD-32 5613                         |WD*|08 41 32.4290850497 -32 56 32.915823461|DA5.5               | 290 |   0
278|d         |        1|table:Star= BD+25 1981               |BD+25 1981                         |PM*|08 44 24.6895754316 +24 47 47.743332208|F0                  | 135 |   0
279|d         |        1|table:Star= HD 74721                 |HD 74721                           |HB*|08 45 59.2614567408 +13 15 48.591616392|A0V                 | 144 |   0
280|d         |        1|table:Star= HD 75318                 |HD 75318                           |PM*|08 49 21.2073147696 +03 41 02.397404040|G8V                 |  56 |   0
281|d         |        2|table:Star= NGC 2682 108             |NGC 2682 108                       |RG*|08 51 17.4855757728 +11 45 22.707921744|~                   | 127 |   1
282|d         |        3|table:Star= LHS 2065                 |LP 666-9                           |LM*|08 53 36.1604798120 -03 29 32.197505547|M9Ve                | 239 |   0
283|d         |        1|table:Star= HD 76221                 |V* X Cnc                           |C* |08 55 22.8819374952 +17 13 52.583009880|C-N4.5              | 263 |   1
284|d         |        2|table:Star= HD 76780                 |HD 76780                           |PM*|08 58 55.7308254024 +21 09 58.637729628|G5                  |  57 |   0
285|d         |        1|table:Star= HD 78737                 |HD 78737                           |PM*|09 09 03.3692278464 -27 01 49.309794660|F3V                 |  44 |   0
286|d         |        2|table:Star= HD 79349                 |HD 79349                           |*  |09 11 43.0372705608 -48 46 23.463580188|K5/M0IV             |  23 |   0
287|d         |        1|table:Star= HD 81797                 |* alf Hya                          |*  |09 27 35.24270 -08 39 30.9583          |K3IIIa              | 420 |   0
288|d         |        1|table:Star= BD+09 2190               |BD+09 2190                         |PM*|09 29 15.5615542183 +08 38 00.467004388|sdA5                | 126 |   0
289|d         |        1|table:Star= HD 82734                 |HD 82734                           |*  |09 33 12.4598609496 -21 06 56.603996244|K0III               |  93 |   0
290|d         |        1|table:Star= HD 83212                 |HD 83212                           |Pe*|09 36 19.9521173088 -20 53 14.747509716|G6/K0IIIwF7         | 125 |   0
291|d         |        2|table:Star= HD 83632                 |HD 83632                           |PM*|09 40 34.0569616032 +26 00 13.964779800|K2III               |  36 |   0
292|d         |        1|table:Star= CM Car                   |V* CM Car                          |Mi*|09 47 55.5824251656 -67 27 07.030380348|M2e                 |  15 |   0
293|d         |        1|table:Star= HD 84937                 |HD 84937                           |PM*|09 48 56.0992891997 +13 44 39.326709913|F8Vm-5              | 761 |   0
294|d         |        1|table:Star= IRAS 09484-6242          |V* V692 Car                        |C* |09 49 49.4246611560 -62 56 09.012356088|R                   |   9 |   0
