 # | obj tags |obj count|               raw id                |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     spec. type     |#bib |#not
431|d         |        1|table:Star= BD-11 4126               |BD-11 4126                         |PM*|16 23 26.9102733168 -11 35 40.582570776|K3V                 |  41 |   0
432|d         |        3|table:Star= CL* NGC 6121 LEE 2626    |NGC 6121 154                       |RG*|16 23 26.9462895216 -26 31 31.372012704|~                   |  28 |   0
433|d         |        1|table:Star= CL* NGC 6121 LEE 2303    |Cl* NGC 6121 SAW V15               |RR*|16 23 31.9470876936 -26 24 18.222455232|hF5.5               |  49 |   0
434|x*        |        1|EG 274                               |CD-38 10980                        |WD*|16 23 33.8380498896 -39 13 46.161043572|DA2                 | 468 |   0
435|d         |        2|table:Star= CL* NGC 6121 LEE 4302    |2MASS J16233741-2638238            |AB*|16 23 37.4194753800 -26 38 23.993321388|~                   |  18 |   0
436|d         |        2|table:Star= CL* NGC 6121 LEE 4611    |NGC 6121 259                       |RG*|16 23 38.4683784336 -26 33 19.295581140|~                   |  36 |   0
437|d         |        1|table:Star= CL* NGC 6121 LEE 4613    |NGC 6121 261                       |RG*|16 23 39.2711924040 -26 33 06.121074240|~                   |  40 |   0
438|d         |        1|table:Star= BD+09 3223               |BD+09 3223                         |HB*|16 33 35.5815849384 +09 06 16.307942544|~                   |  70 |   0
439|d         |        1|table:Star= HD 149382                |HD 149382                          |HS*|16 34 23.3333693424 -04 00 52.030152000|sdB                 | 128 |   1
440|d         |        1|table:Star= HD 150281                |HD 150281                          |PM*|16 39 49.9854096702 +05 30 25.936977194|K0                  |  40 |   0
441|d         |        1|table:Star= G169-28                  |G 169-28                           |PM*|16 50 11.4685147680 +22 18 50.022945310|~                   |  23 |   0
442|d         |        1|table:Star= GJ 644C                  |VB 8                               |Er*|16 55 35.2557374336 -08 23 40.753073075|M7Ve                | 416 |   0
443|d         |        1|table:Star= G019-013                 |HD 154363                          |PM*|17 05 03.3944309308 -05 03 59.438943094|K4/5V               | 216 |   0
444|d         |        1|table:Star= HIP 84123                |G 19-15                            |** |17 11 52.25370 -01 51 06.3227          |M3V                 |  65 |   0
445|d         |        2|table:Star= CD-69 1618               |CD-69 1618                         |*  |17 12 32.8978719504 -70 05 08.573209944|B2p                 |  51 |   0
446|d         |        1|table:Star= HD 157089                |HD 157089                          |PM*|17 21 07.0564477831 +01 26 34.983929347|F8VgF8mF6           | 240 |   0
447|d         |        2|table:Star= CD-49 11404              |CD-49 11404                        |*  |17 24 50.0710852992 -49 56 56.079791376|~                   |  40 |   0
448|d         |        2|table:Star= RR Ara                   |V* RR Ara                          |Mi*|17 27 51.9599108328 -49 54 15.334783092|M3e                 |  15 |   0
449|d         |        1|table:Star= FR Her                   |V* FR Her                          |Mi*|17 37 05.9571800136 +18 13 04.755721224|M2                  |  14 |   0
450|d         |        1|table:Star= HD 160365                |HD 160365                          |PM*|17 38 57.8551898904 +13 19 45.311464560|F6III               |  85 |   0
451|d         |        1|table:Star= HD 160346                |HD 160346                          |SB*|17 39 16.9163262 +03 33 18.875718      |K3-V                | 284 |   0
452|d         |        1|table:Star= NGC 6397 211             |NGC 6397 211                       |*  |17 41 25.41 -53 37 37.9                |~                   |  39 |   0
453|d         |        1|table:Star= HD 161149                |HD 161149                          |*  |17 43 22.0226907336 +14 17 42.610199172|F5III               |  68 |   0
454|d         |        1|table:Star= HD 161227                |HD 161227                          |** |17 44 59.2470807 -16 45 46.483123      |Fm_dD               |  43 |   1
455|d         |        1|table:Star= HD 161370                |HD 161370                          |*  |17 45 00.8836708272 +05 31 22.438712748|A0                  |  53 |   0
456|d         |        1|table:Star= HD 161817                |HD 161817                          |HB*|17 46 40.6293849144 +25 44 56.940630540|sdA2                | 264 |   0
457|d         |        1|table:Star= G20-15                   |BD-08 4501                         |PM*|17 47 27.9712915686 -08 46 47.733112329|sdF8                | 120 |   0
458|d         |        2|table:Star= OGLEII DIA BUL-SC26 0532 |2MASS J17474233-3519573            |LP*|17 47 42.3263183976 -35 19 57.522969732|~                   |   6 |   0
459|d         |        1|table:Star= HD 161770                |HD 161770                          |PM*|17 47 46.0757369400 -09 36 18.442563336|F3V                 |  94 |   0
460|d         |        1|table:Star= OGLEII DIA BUL-SC15 1379 |MSX6C G005.1822+02.4044            |Mi*|17 48 25.0303821792 -23 15 34.507504584|~                   |   5 |   0
461|d         |        1|table:Star= OGLEII DIA BUL-SC15 2106 |OGLE BLG-LPV-45437                 |Mi*|17 48 30.3494993184 -23 05 23.451665892|~                   |   5 |   0
462|d         |        1|table:Star= V348 Sco                 |V* V348 Sco                        |Mi*|17 51 29.9290071672 -43 16 23.400698520|~                   |   7 |   0
463|d         |        4|table:Star= SY Pav                   |V* SY Pav                          |Mi*|17 52 04.7217340440 -57 51 46.042325964|M1                  |  13 |   0
